prompt,feature,n_complaints,mean_ChatGPT,mean_Mistral,within_cell_sd,gap_5draw_mean,gap_ci_lo,gap_ci_hi,gap_d_vs_within,single_draw_gap_sd,single_draw_gap_min,single_draw_gap_max,single_draw_sign_agree,cells_with_disagreeing_draws
V1,Length (chars),299,296.9451505016723,285.23210702341134,40.43109874613103,11.713043478260868,6.306204013377927,16.849163879598663,0.28970381319112,2.8562686372625303,3.9063545150501673,18.86622073578595,1.0,
V1,VADER compound,299,0.5290372575250836,0.30972060200668894,0.34816849963121527,0.21931665551839466,0.18147108361204015,0.2572045769230769,0.6299152730666266,0.02467668160527422,0.1350849498327759,0.27864180602006683,1.0,
V1,FK grade,299,13.854113712374579,12.625886287625418,1.523992073294636,1.228227424749164,1.0449866220735786,1.3998645484949832,0.8059276988848936,0.09863890562446492,0.933779264214047,1.5324414715719064,1.0,
V1,Apology,299,0.6809364548494983,0.6668896321070236,0.27001796050754756,0.014046822742474914,-0.02610367892976588,0.05352842809364547,0.05202180890512383,0.02089348533439187,-0.030100334448160536,0.07023411371237458,0.75,0.30267558528428096
V1,Ownership,299,0.3250836120401338,0.35317725752508367,0.40004180383561605,-0.028093645484949834,-0.07025083612040134,0.010719063545150493,-0.07022677434104858,0.026731845626897826,-0.10033444816053512,0.04013377926421405,0.83,0.6321070234113713
V1,Thanks the customer,299,0.24548494983277594,0.12374581939799331,0.2721769048955631,0.1217391304347826,0.08963210702341139,0.15384615384615385,0.44727942836110607,0.021990331596982177,0.06020066889632107,0.18394648829431437,1.0,0.3010033444816054
V1,Time-bound commitment,299,0.004013377926421405,0.10836120401337793,0.18560215660147122,-0.10434782608695653,-0.12576923076923077,-0.08225752508361206,-0.5622123578607674,0.014931550515148419,-0.14381270903010032,-0.06688963210702341,1.0,0.14715719063545152
V1,Escalation,299,0.05418060200668897,0.1979933110367893,0.23914563648853188,-0.14381270903010032,-0.17658862876254183,-0.11237458193979934,-0.601360372456542,0.016812508316142692,-0.19732441471571907,-0.10033444816053512,1.0,0.2408026755852843
V1,Leaves a [placeholder],299,0.12976588628762542,0.13177257525083613,0.27492778011859126,-0.0020066889632107017,-0.03747491638795987,0.03545150501672241,-0.007298967613767906,0.02082215922982409,-0.0802675585284281,0.06020066889632107,0.465,0.3177257525083612
V1,Promises an outcome,299,0.0026755852842809368,0.009364548494983277,0.06465757501398396,-0.006688963210702341,-0.012709030100334449,-0.0013377926421404684,-0.10345212002237433,0.004793291185166741,-0.020066889632107024,0.006688963210702341,0.84,0.016722408026755852
V2,Length (chars),299,498.7739130434782,438.4842809364549,52.69157434247873,60.28963210702341,55.046454849498325,65.69899665551839,1.1441987235978124,3.8411725366983767,48.448160535117054,72.02675585284281,1.0,
V2,VADER compound,299,0.617393712374582,-0.04457224080267559,0.4038532557509002,0.6619659531772575,0.6248117993311038,0.7024990066889631,1.639124963710985,0.026658980380557976,0.6038056856187292,0.749705016722408,1.0,
V2,FK grade,299,9.751438127090301,10.923076923076923,1.320871811016165,-1.1716387959866221,-1.3058244147157194,-1.0378946488294316,-0.8870193051400379,0.10807623910881037,-1.4859531772575252,-0.8531772575250836,1.0,
V2,Apology,299,0.9625418060200669,0.9979933110367892,0.1267024534319901,-0.03545150501672241,-0.04882943143812708,-0.024080267558528427,-0.2798012513289781,0.01014928673201694,-0.06688963210702341,-0.006688963210702341,1.0,0.07190635451505016
V2,Ownership,299,0.9819397993311038,0.9879598662207357,0.11493781945529123,-0.006020066889632108,-0.016722408026755852,0.004013377926421403,-0.05237672785304411,0.0074272787835540565,-0.023411371237458192,0.013377926421404682,0.71,0.06354515050167224
V2,Thanks the customer,299,0.7692307692307693,0.07491638795986623,0.3071064656937444,0.694314381270903,0.662190635451505,0.725752508361204,2.2608263219156504,0.02125457864380816,0.6387959866220736,0.745819397993311,1.0,0.3879598662207358
V2,Time-bound commitment,299,0.054849498327759205,0.6836120401337793,0.33447407926324674,-0.6287625418060201,-0.6635451505016722,-0.5933110367892976,-1.8798543169354376,0.025463082594991703,-0.6989966555183946,-0.5585284280936454,1.0,0.4498327759197324
V2,Escalation,299,0.5076923076923078,0.6849498327759198,0.39815628601548597,-0.17725752508361203,-0.2100334448160535,-0.14247491638795987,-0.44519584723250544,0.03086784710710024,-0.25418060200668896,-0.0903010033444816,1.0,0.6270903010033445
V2,Leaves a [placeholder],299,0.42675585284280937,0.16722408026755853,0.3747909116090586,0.25953177257525084,0.211371237458194,0.3043979933110368,0.6924708271634035,0.026875331960519923,0.17391304347826086,0.33444816053511706,1.0,0.5769230769230769
V2,Promises an outcome,299,0.0006688963210702342,0.0046822742474916385,0.044796082007366476,-0.004013377926421405,-0.008695652173913044,-0.0006688963210702342,-0.08959216401473295,0.003279609839859315,-0.010033444816053512,0.0033444816053511705,0.76,0.008361204013377926
V3,Length (chars),299,385.52374581939796,390.36722408026753,42.31680169490151,-4.843478260869568,-10.624498327759198,0.6048327759197261,-0.11445756926032359,3.1006201977326744,-12.551839464882944,4.826086956521739,0.935,
V3,VADER compound,299,-0.10995926421404682,0.12954334448160534,0.30147620743406844,-0.23950260869565215,-0.28021215050167225,-0.19946022408026756,-0.7944328699571768,0.021747863100252642,-0.31348494983277597,-0.17556722408026756,1.0,
V3,FK grade,299,10.993979933110367,11.085685618729096,1.220835012231506,-0.09170568561872908,-0.26007190635451494,0.06321404682274248,-0.0751171818467957,0.08128898044113594,-0.268227424749164,0.12943143812709032,0.865,
V3,Apology,299,0.0,0.0013377926421404684,0.02586303000559359,-0.0013377926421404684,-0.0033444816053511705,0.0,-0.05172606001118717,0.002009977529766725,-0.006688963210702341,0.0,0.42,0.0033444816053511705
V3,Ownership,299,0.9846153846153846,0.9979933110367892,0.08280209714113465,-0.013377926421404679,-0.02341137123745819,-0.006020066889632106,-0.1615650675924578,0.0065052458087322945,-0.030100334448160536,0.0,0.985,0.033444816053511704
V3,Thanks the customer,299,0.03143812709030101,0.0,0.11709984876992711,0.03143812709030101,0.021404682274247494,0.04214046822742475,0.2684728240091012,0.008496675663110504,0.010033444816053512,0.06020066889632107,1.0,0.06354515050167224
V3,Time-bound commitment,299,0.834113712374582,0.9290969899665552,0.2960159084579757,-0.09498327759197324,-0.12307692307692307,-0.06688963210702341,-0.3208722061147523,0.0224966059875633,-0.15384615384615385,-0.026755852842809364,1.0,0.3779264214046823
