Judge,Model,Cell,n,acknowledgement,acknowledgement_ci,concreteness,concreteness_ci,tone,tone_ci,grounding,grounding_ci,overall,overall_ci,has_placeholder,has_placeholder_ci,promises_outcome,promises_outcome_ci,admits_liability,admits_liability_ci
gpt-4o-mini,ChatGPT,000,299,3.668896321070234,0.06236853279069595,2.511705685618729,0.05898932264215994,4.642140468227424,0.05442760874558708,5.0,0.0,3.2474916387959865,0.05861412952899245,0.959866220735786,0.02228477853180032,0.03678929765886288,0.021373189554871195,0.13377926421404682,0.03865063457847505
gpt-4o-mini,ChatGPT,A00,299,4.2040133779264215,0.060378520154464425,3.180602006688963,0.06097974188661711,4.966555183946488,0.020413885399251198,4.986622073578595,0.013044209180269575,3.79933110367893,0.046411219336043516,0.431438127090301,0.05623362323959445,0.12040133779264214,0.03694927111315835,0.10367892976588629,0.03461186450586927
gpt-4o-mini,ChatGPT,0B0,299,4.7324414715719065,0.05194972695302366,3.5551839464882944,0.0594009971817675,4.896321070234114,0.03461186450586926,4.996655518394649,0.006555183946488296,3.939799331103679,0.03277591973244147,0.17725752508361203,0.04335929771209366,0.08361204013377926,0.031428382980664624,0.016722408026755852,0.014559129814102399
gpt-4o-mini,ChatGPT,00C,299,2.4949832775919734,0.07450291614971988,1.859531772575251,0.04647641892707858,4.063545150501672,0.02769698954909419,4.989966555183947,0.011315747131392268,2.1471571906354514,0.048927942771007475,0.16387959866220736,0.04202858758669364,0.0,0.0,0.0,0.0
gpt-4o-mini,ChatGPT,AB0,299,4.62876254180602,0.054855119440466914,3.8060200668896322,0.055229740287725655,4.9799331103678925,0.01592158084354004,5.0,0.0,3.9966555183946486,0.03282867071034968,0.043478260869565216,0.023154288684443792,0.10033444816053512,0.034112497618221486,0.023411371237458192,0.017167900861174517
gpt-4o-mini,ChatGPT,A0C,299,3.779264214046823,0.06414430138247246,2.7324414715719065,0.05438255167333343,4.849498327759197,0.0405975538168326,4.989966555183947,0.011315747131392268,3.3244147157190636,0.06072619662089898,0.24414715719063546,0.04877445222482198,0.006688963210702341,0.009254862557209335,0.04013377926421405,0.022284778531800324
gpt-4o-mini,ChatGPT,0BC,299,4.45819397993311,0.058813059331870296,3.2140468227424748,0.05182745289956141,4.7959866220735785,0.04575411369471227,5.0,0.0,3.722408026755853,0.05084434685331419,0.04013377926421405,0.022284778531800324,0.006688963210702341,0.009254862557209335,0.010033444816053512,0.011315747131392268
gpt-4o-mini,ChatGPT,ABC,299,4.481605351170568,0.0574863994818104,3.6454849498327757,0.055878638675165695,4.9799331103678925,0.01592158084354004,5.0,0.0,3.9364548494983276,0.030652597944633424,0.016722408026755852,0.014559129814102402,0.013377926421404682,0.013044209180269575,0.013377926421404682,0.013044209180269575
gpt-4o-mini,Mistral,000,299,3.979933110367893,0.08197982457156204,3.150501672240803,0.08154421356184186,4.8193979933110365,0.04367738944230719,4.969899665551839,0.019399788922751366,3.6254180602006687,0.06633031944364871,0.20066889632107024,0.04547276124145073,0.16722408026755853,0.04237028904442849,0.3277591973244147,0.053295165790604906
gpt-4o-mini,Mistral,A00,299,4.712374581939799,0.05620284402369272,4.117056856187291,0.0646369683852263,4.996655518394649,0.006555183946488295,4.993311036789297,0.009254862557209335,4.214046822742475,0.050988779243279596,0.1705685618729097,0.04270588039945664,0.4916387959866221,0.05676193765497314,0.5183946488294314,0.0567314450727807
gpt-4o-mini,Mistral,0B0,299,4.79933110367893,0.04641121933604351,3.6655518394648827,0.058196889092407666,4.896321070234114,0.03461186450586927,4.993311036789297,0.009254862557209335,3.959866220735786,0.03184316168708009,0.2408026755852843,0.04854627679921389,0.20735785953177258,0.04603061408305969,0.06354515050167224,0.02769698954909419
gpt-4o-mini,Mistral,00C,299,2.802675585284281,0.08392326320617068,2.0501672240802677,0.05344376733721983,4.183946488294314,0.04398990346331991,4.996655518394649,0.006555183946488296,2.508361204013378,0.06524315098447753,0.05351170568561873,0.025552297786021496,0.0033444816053511705,0.006555183946488296,0.006688963210702341,0.009254862557209335
gpt-4o-mini,Mistral,AB0,299,4.7792642140468224,0.051464491536664436,3.9163879598662206,0.052901397229589385,4.949832775919733,0.024784579246975875,5.0,0.0,4.036789297658863,0.03511234284088232,0.08361204013377926,0.031428382980664624,0.3745819397993311,0.054954918179493134,0.16387959866220736,0.04202858758669364
gpt-4o-mini,Mistral,A0C,299,4.290969899665551,0.07477531553828713,3.6622073578595318,0.06328201936399273,4.956521739130435,0.02315428868444379,4.996655518394649,0.006555183946488296,3.9096989966555182,0.039703296086877754,0.09698996655518395,0.033601420070317266,0.11371237458193979,0.036044511702623315,0.20066889632107024,0.04547276124145073
gpt-4o-mini,Mistral,0BC,299,4.183946488294314,0.07569147429870735,3.197324414715719,0.05388978911655815,4.508361204013378,0.05676193765497314,4.993311036789297,0.009254862557209335,3.5351170568561874,0.05886942303424237,0.15719063545150502,0.04132624540900152,0.023411371237458192,0.017167900861174517,0.0033444816053511705,0.006555183946488295
gpt-4o-mini,Mistral,ABC,299,4.645484949832776,0.055878638675165695,3.648829431438127,0.058038097830316035,4.926421404682274,0.02964339738110163,5.0,0.0,3.923076923076923,0.03298204583284949,0.08695652173913043,0.03199224731958695,0.12374581939799331,0.037387657769143566,0.05016722408026756,0.02478457924697587
mistral-small,ChatGPT,000,299,2.7324414715719065,0.09437839389771024,1.9866220735785953,0.0700910906366723,4.070234113712375,0.033173854219213685,3.4648829431438126,0.11568048444774744,2.5217391304347827,0.06842970128250908,0.9364548494983278,0.02769698954909419,0.010033444816053512,0.011315747131392268,0.0,0.0
mistral-small,ChatGPT,A00,299,3.1672240802675584,0.106614679317831,2.6187290969899664,0.08319502750915657,4.384615384615385,0.05523757225679734,3.9665551839464883,0.14230058940305085,3.016722408026756,0.08066414711938558,0.3979933110367893,0.0555758974174395,0.023411371237458192,0.01716790086117452,0.0033444816053511705,0.006555183946488295
mistral-small,ChatGPT,0B0,299,4.170568561872909,0.0804995189355559,3.5752508361204014,0.08333010976355804,4.54180602006689,0.05807535348698053,4.909698996655519,0.049382632306569516,3.6020066889632107,0.06937770304990559,0.1505016722408027,0.040597553816832596,0.013377926421404682,0.013044209180269576,0.0,0.0
mistral-small,ChatGPT,00C,299,2.117056856187291,0.07682787898126478,1.214046822742475,0.047486193228921565,3.819397993311037,0.0446535957547802,4.59866220735786,0.10905373539597298,1.9297658862876255,0.05474987160859352,0.14715719063545152,0.040222881495186026,0.0,0.0,0.0,0.0
mistral-small,ChatGPT,AB0,299,4.046822742474917,0.08077847318915198,3.8963210702341136,0.06221807124943436,4.709030100334449,0.05321664516941116,4.903010033444816,0.056555793680351324,3.802675585284281,0.06137101941788706,0.03678929765886288,0.02137318955487119,0.013377926421404682,0.013044209180269576,0.0,0.0
mistral-small,ChatGPT,A0C,299,3.0234113712374584,0.10189975890223087,2.237458193979933,0.06570783440994517,4.25752508361204,0.04964763904735086,4.448160535117057,0.11371931525875156,2.8260869565217392,0.07161540852544755,0.20066889632107024,0.04547276124145073,0.0,0.0,0.0,0.0
mistral-small,ChatGPT,0BC,299,3.8461538461538463,0.09072804599139542,3.408026755852843,0.07775323476147485,4.451505016722408,0.057260202829922405,4.976588628762542,0.026942218666266095,3.4147157190635453,0.07150054813311855,0.030100334448160536,0.019399788922751366,0.0,0.0,0.0,0.0
mistral-small,ChatGPT,ABC,299,3.9297658862876252,0.08396620696426756,3.8662207357859533,0.05896731854218064,4.6755852842809364,0.05395931400613688,4.983277591973244,0.02700636689675273,3.7157190635451505,0.06047874145596123,0.0,0.0,0.0,0.0,0.0,0.0
mistral-small,Mistral,000,299,3.6220735785953178,0.13809184224917903,3.1103678929765888,0.10615247575376492,4.51505016722408,0.05824394691019357,4.662207357859532,0.09352659284013472,3.317725752508361,0.09117671478883714,0.11705685618729098,0.036501670180047845,0.06020066889632107,0.027006366896752735,0.023411371237458192,0.017167900861174517
mistral-small,Mistral,A00,299,4.20066889632107,0.12492304300140103,4.187290969899665,0.07356215797672011,4.8361204013377925,0.04202858758669363,4.331103678929765,0.10632756322511458,3.9933110367892977,0.07370120034169668,0.1605351170568562,0.04168062575303517,0.20735785953177258,0.04603061408305969,0.1806020066889632,0.043677389442307195
mistral-small,Mistral,0B0,299,4.230769230769231,0.09310938554468626,3.79933110367893,0.07656278266704818,4.535117056856187,0.0581324324542525,4.822742474916388,0.06420272265902147,3.682274247491639,0.0727679121104384,0.18394648829431437,0.043989903463319914,0.05351170568561873,0.0255522977860215,0.0,0.0
mistral-small,Mistral,00C,299,2.705685618729097,0.10425551935153013,1.7993311036789297,0.07191679613991994,4.090301003344481,0.03970329608687775,4.8561872909699,0.06912158447904931,2.4247491638795986,0.06857073934603133,0.030100334448160536,0.01939978892275137,0.0,0.0,0.0,0.0
mistral-small,Mistral,AB0,299,4.408026755852843,0.08765798056802236,4.167224080267559,0.0718204897075083,4.749163879598663,0.04921884203013376,4.892976588628763,0.05194139922950124,4.016722408026756,0.06977355221792218,0.06688963210702341,0.02836572253639035,0.11036789297658862,0.035577427248697224,0.006688963210702341,0.009254862557209335
mistral-small,Mistral,A0C,299,4.110367892976589,0.12202449447869312,3.8963210702341136,0.08454466554893468,4.906354515050167,0.033078089055127005,4.802675585284281,0.07052383809109977,3.919732441471572,0.07074227663581387,0.08361204013377926,0.031428382980664624,0.010033444816053512,0.011315747131392268,0.030100334448160536,0.01939978892275137
mistral-small,Mistral,0BC,299,3.4782608695652173,0.09619134618270136,3.240802675585284,0.0821853607598096,4.2441471571906355,0.052190652910045744,4.889632107023411,0.05143366188614264,3.150501672240803,0.07318483302825751,0.12040133779264214,0.03694927111315835,0.0033444816053511705,0.006555183946488296,0.0,0.0
mistral-small,Mistral,ABC,299,4.137123745819398,0.0931790498188206,3.762541806020067,0.07547971746255061,4.6521739130434785,0.05407676788095176,4.946488294314381,0.03544749327526577,3.7157190635451505,0.06974874825261017,0.06354515050167224,0.02769698954909419,0.0033444816053511705,0.006555183946488294,0.0,0.0
